Test: [0/237]	Time 3.028 (3.028)	Loss 0.1294 (0.1294)	Prec@1 93.750 (93.750)	Prec@5 100.000 (100.000)
Test: [20/237]	Time 0.284 (0.517)	Loss 0.0960 (0.2048)	Prec@1 100.000 (93.750)	Prec@5 100.000 (99.702)
Test: [40/237]	Time 0.327 (0.422)	Loss 0.1571 (0.2296)	Prec@1 87.500 (92.835)	Prec@5 100.000 (99.543)
Test: [60/237]	Time 0.311 (0.387)	Loss 0.0214 (0.1958)	Prec@1 100.000 (93.545)	Prec@5 100.000 (99.693)
Test: [80/237]	Time 0.282 (0.370)	Loss 0.0719 (0.2091)	Prec@1 100.000 (93.210)	Prec@5 100.000 (99.769)
Test: [100/237]	Time 0.284 (0.361)	Loss 0.1094 (0.2095)	Prec@1 93.750 (93.502)	Prec@5 100.000 (99.752)
Test: [120/237]	Time 0.286 (0.355)	Loss 0.2379 (0.2129)	Prec@1 87.500 (93.388)	Prec@5 100.000 (99.742)
Test: [140/237]	Time 0.329 (0.350)	Loss 0.3344 (0.2084)	Prec@1 87.500 (93.484)	Prec@5 100.000 (99.778)
Test: [160/237]	Time 0.304 (0.345)	Loss 0.5851 (0.2057)	Prec@1 87.500 (93.556)	Prec@5 93.750 (99.767)
Test: [180/237]	Time 0.334 (0.343)	Loss 0.2089 (0.2104)	Prec@1 87.500 (93.301)	Prec@5 100.000 (99.758)
Test: [200/237]	Time 0.290 (0.341)	Loss 0.0069 (0.2107)	Prec@1 100.000 (93.221)	Prec@5 100.000 (99.782)
Test: [220/237]	Time 0.274 (0.338)	Loss 0.2092 (0.2141)	Prec@1 93.750 (93.156)	Prec@5 100.000 (99.774)
Testing Results: Prec@1 93.074 Prec@5 99.709 Loss 0.22010
Best Prec@1: 93.471

Epoch: [4][0/596], lr: 0.0002500	Time 2.697 (2.697)	Loss 0.2007 (0.2007)	Loss_h 3.2368 (3.2368)	Prec@1 93.750 (93.750)	
